index,name,rating,author_title,review_text,review_rating,date,language,bert_ratings,sentiment_category
19,Lost Weekend,4.4,V Y,"['a', 'happening', '„', 'student', 'vibe', '“', 'place', 'in', 'maxvorstadt', '.', 'it', '’s', 'either', 'an', 'open', 'stage', 'on', 'monday', ',', 'or', 'an', 'open', 'mic', 'poetry', 'night', 'on', 'tuesday', ',', 'or', 'latin', 'night', 'on', 'wednseday', '.', 'today', '(', 'thursday', ')', 'was', 'comedy', 'night', '.', 'a', 'place', 'to', 'grab', 'a', 'drink', '(', 'nothing', 'fancy', ')', 'and', 'immerse', 'in', 'atmosphere', '.', 'a', 'laptop', 'labyrinth', 'in', 'the', 'daytime', 'as', 'people', 'from', 'nearby', 'lmu', 'try', 'to', 'work', '/', 'study', 'here', '.']",5.0,2023-08-24,en,4,positive
20,Lost Weekend,4.4,Paul O,"['mega', 'laden', 'mit', 'programm', 'für', 'fast', 'jeden', 'tag']",5.0,2023-08-22,de,5,positive
21,Lost Weekend,4.4,Carina Blömacher,"['schönes', 'ambiente', 'und', 'alle', 'kaffeespezialitäten', 'auch', 'entkoffeiniert', 'verfügbar', '.']",5.0,2023-08-21,de,5,positive
22,Lost Weekend,4.4,Jens,"['die', 'antikapitalistische', 'ausrichtung', 'des', 'ladens', 'war', 'mir', 'schon', 'immer', 'ein', 'dorn', 'im', 'auge', '.', 'die', 'kundschaft', 'möglichst', 'lange', 'warten', 'zu', 'lassen', 'scheint', 'teil', 'des', 'geschäftsmodells', 'zu', 'sein', '.', 'kaffee', 'okay', ',', 'aufpreis', 'falls', 'man', 'to-go', 'bestellt', '.', 'bescheuert', '.']",2.0,2023-08-08,de,2,neutral
23,Lost Weekend,4.4,Alexander Bachmaier,"['sehr', 'guter', 'kaffee', 'bei', 'entspannter', 'atmosphäre', '.', 'alles', 'außer', 'kaffee', 'leider', 'etwas', 'überteuert']",4.0,2023-08-08,de,4,positive
25,Lost Weekend,4.4,Roman Ramseger,"['aus', 'prinzip', '1stern', 'dafür', ',', 'dass', 'nur', '0,33er', 'helles', 'verkauft', 'wird', '...']",1.0,2023-08-02,de,1,negative
26,Lost Weekend,4.4,Vanessa Mesquita,"['i', 'was', 'there', 'one', 'morning', '.', 'unable', 'to', 'hear', 'a', 'call', '.', 'loud', 'music', ',', 'no', 'socket', 'to', 'charge', 'the', 'computer', '.', 'ok', ',', 'so', 'maybe', 'it', ""'s"", 'a', 'good', 'coffee', '.', 'neither', ',', 'employees', 'in', 'a', 'bad', 'mood', '.']",1.0,2023-08-01,en,2,neutral
27,Lost Weekend,4.4,Dilara HACIOĞLU,"['sweet', 'spot', 'vegan', 'options', 'and', 'the', 'flea', 'markt', 'held', 'was', 'pretty', 'nice', ':)']",5.0,2023-07-31,en,4,positive
29,Lost Weekend,4.4,Özgür Deniz Akıncı,"['saturday', 'evening', 'here', 'was', 'the', 'best', 'night', 'i', '’ve', 'ever', 'had', 'in', 'munich', '.']",5.0,2023-07-30,en,5,positive
30,Lost Weekend,4.4,Kirill Drozdov,"['update', ':', 'amazing', 'place', 'for', 'networking', 'with', 'people', '.', '""', 'love', 'kills', '""', '.', 'that', ""'s"", 'true', '🙂']",5.0,2023-07-27,en,5,positive
31,Lost Weekend,4.4,Maritina Leontiou,"['i', 'love', 'this', 'place', ',', 'i', 'am', 'going', 'there', 'every', 'other', 'day', ',', 'to', 'study', ',', 'do', 'some', 'work', 'or', 'just', 'vibe', '.', 'it', ""'s"", 'the', 'best', 'place', 'for', 'student', 'socialising', ',', 'but', 'also', 'it', 'has', 'the', 'best', 'atmosphere', 'and', 'best', 'drinks', '/', 'snacks', ',', 'in', 'affordable', 'prices', '.', 'it', ""'s"", 'a', 'must', '.']",5.0,2023-07-26,en,5,positive
32,Lost Weekend,4.4,Andreas Unverdorben,"['coole', 'location']",5.0,2023-07-26,en,4,positive
33,Lost Weekend,4.4,Lukas Rudolph,"['kurz', 'vor', 'neun', 'und', 'ich', 'versuche', 'rauszufinden', 'ob', 'schon', 'offen', 'ist', '--', 'personal', 'pflaumt', 'an', '""', 'hey', 'wir', 'sind', 'nicht', 'offen', '""', '...', '""', 'wie', 'nervig', 'wenn', 'die', 'leute', 'schon', 'reingehen', '""', '(', 'ich', 'hab', 'an', 'der', 'türschwelle', 'nach', 'innen', 'geblickt', 'und', 'mich', 'nach', 'wem', 'zum', 'fragen', 'umgeschaut', ')', '.', 'danke', 'für', 'die', 'freundliche', 'begrüßung', '.']",1.0,2023-07-26,de,1,negative
34,Lost Weekend,4.4,NiCation Youtube Channel (Nication.Foodie),"['ich', 'habe', 'eine', 'frage', 'zu', 'einer', 'iced', 'latte', 'gestellt', 'und', 'die', 'servicekraft', 'antwortet', 'nicht', 'drauf', ',', 'sondern', 'verzieht', 'das', 'gesicht', 'genervt', '.', 'sie', 'sagt', 'auch', 'weiterhin', 'nichts', ',', 'bis', 'ich', 'einfach', 'auf', 'englisch', 'weiterrede', '.', '\n', 'es', 'stellt', 'sich', 'also', 'heraus', ',', 'dass', 'sie', 'kein', 'deutsch', 'versteht', '.', 'das', 'ist', 'auch', 'gar', 'kein', 'problem', ',', 'wenn', 'sie', 'dies', 'einfach', 'auf', 'englisch', 'kommunizieren', 'würde', 'statt', 'den', 'kunden', 'anzuglotzen', 'bis', 'er', 'es', 'selber', 'in', 'anderen', 'sprachen', 'versucht', '.']",2.0,2023-07-24,de,1,negative
35,Lost Weekend,4.4,Waldemar Miller,"['für', 'einen', 'laden', 'der', 'bis', '24:00', 'uhr', 'geöffnet', 'hat', 'serviert', 'man', 'hier', 'ab', '19:00', 'uhr', 'keinen', 'kaffee', 'mehr', '.', ' ', 'sehr', 'schade', '.']",2.0,2023-07-19,de,1,negative
36,Lost Weekend,4.4,Claudine Cu,"['good', 'coffee', 'and', 'vibe', '.', 'but', 'small', 'place', '.']",4.0,2023-07-18,en,4,positive
37,Lost Weekend,4.4,Jan Reisert,"['ich', 'komme', 'hier', 'her', 'seit', 'ich', 'vor', '7', 'jahren', 'nach', 'münchen', 'kam', '.', 'flair', ',', 'ambiente', 'sowie', 'die', 'menschen', 'dort', '(', 'angestellte', 'und', 'gäste', ')', 'sind', 'einfach', 'mega', '.', 'kulinarisch', ',', 'offen', 'und', 'individuell', 'könnte', 'man', 'das', 'lost', 'weekend', 'beschreiben', '.', '\n\n', 'einziges', 'manko', 'ist', 'das', 'wlan', '.', 'nicht', 'jeder', 'der', 'dort', 'gerne', 'arbeitet', 'ist', 'student', 'und', 'hat', 'einen', 'eduroam', 'zugang', '.', 'ich', 'verzweifle', 'regelmäßig', '(', 'vor', 'allem', 'nachmittags', ')', 'bei', 'euch', ',', 'weshalb', 'ich', 'mich', 'kaum', 'noch', 'bei', 'euch', 'aufhalte', ',', 'was', 'ich', 'allerdings', 'gerne', 'ändern', 'würde', '.', 'es', 'kann', 'nicht', 'sein', ',', 'dass', 'ich', 'mir', 'mit', 'dem', 'handy', 'einen', 'hotspot', 'geben', 'muss', '.', 'zuletzt', 'hab', 'ich', 'glatt', 'meine', 'mobile', 'daten', 'aufgebraucht', ',', 'was', 'ich', 'seit', 'jahren', 'nicht', 'mehr', 'geschafft', 'hatte', '.', '\n', 'ordentliches', 'internet', 'kostet', 'heutzutage', 'kaum', 'noch', 'was', '.', 'bitte', 'fahrt', 'die', 'leitung', 'hoch', '.', 'alles', 'liebe', '!', '!']",3.0,2023-07-13,de,5,positive
38,Lost Weekend,4.4,Tom Fritz,"['extrem', 'ineffizientes', 'personal', '!', 'man', 'wartet', 'circa', '15', 'bis', '20', 'minuten', 'in', 'der', 'schlange', '.', 'jedes', 'mal', '.', 'die', 'bedienung', '(', 'nur', 'einer', 'von', 'den', 'vier', 'gleichzeitig', 'arbeitenden', 'mitarbeitern', ')', 'macht', 'immer', 'nur', 'einen', 'kaffe', 'gleichzeitig', '.', 'jeder', 'einzelne', 'dauert', 'einige', 'minuten', 'zum', 'machen', '.', 'dann', 'erstmal', 'maschine', 'putzen', 'und', 'es', 'geht', 'wieder', 'von', 'null', 'los', 'mit', 'der', 'nächsten', 'bestellung', '.', 'anstatt', 'den', 'kaffee', 'für', 'mehrere', 'kunden', 'gleichzeitig', 'an', 'der', 'riesigen', 'maschine', 'zu', 'machen', '!', 'nervenzerreibend', ',', 'vor', 'allem', ',', 'wenn', 'man', 'eigentlich', 'nur', 'ein', 'gebäck', 'möchte', '.', 'auch', 'aus', 'sicht', 'der', 'betreiber', 'muss', 'das', 'unverständlich', 'sein', ',', 'da', 'einem', 'dadurch', 'viel', 'umsatz', 'entgeht', '.']",1.0,2023-07-10,de,1,negative
39,Lost Weekend,4.4,Mathe Mann,"['viele', 'coole', 'events', ',', 'wie', 'die', 'lovers', 'dragshow', '.', 'die', 'events', 'sind', 'zwar', 'alle', 'sehr', 'cool', ',', 'aber', 'wenn', 'man', 'kleiner', 'ist', 'sollte', 'man', 'definitiv', 'früher', 'kommen', ',', 'man', 'sieht', 'sonst', 'nicht', 'viel', '.', 'es', 'ist', 'dann', 'auch', 'immer', 'sehr', 'voll', '.', '\n', 'es', 'gibt', 'viele', 'nette', 'vegane', 'optionen', ',', 'allerdings', 'ist', 'alles', 'ziemlich', 'teuer', '.']",4.0,2023-07-04,de,4,positive
40,Lost Weekend,4.4,Gregory Schröder,"['busy', ',', 'cool', 'university', 'atmosphere', '.', 'many', 'people', 'with', 'laptop', '.', 'self', '-', 'service', '.', 'everything', 'vegan', '.', 'coffee', 'is', 'nice', ',', 'cake', 'rather', 'small', '.']",5.0,2023-07-02,en,4,positive
41,Lost Weekend,4.4,NEO WONG,"['nice', 'place', 'self', '-', 'serving']",3.0,2023-06-26,en,4,positive
42,Lost Weekend,4.4,Natascha Plac.,"['an', 'sich', 'guter', 'vibe', 'im', 'laden', 'obwohl', 'er', 'immer', 'sehr', 'gut', 'besucht', 'ist', '.', 'das', 'essen', 'ist', 'komplett', 'vegan', ',', 'was', 'super', 'ist', ',', 'allerdings', 'nichts', 'besonderes', '(', 'wraps', ',', 'sandwiches', 'und', 'kuchen', ')', '.', 'da', 'war', 'das', 'angebot', 'früher', 'deutlich', 'besser', '(', 'bestes', 'veganes', 'philly', 'cheese', 'sandwich', ')', '.']",4.0,2023-06-25,de,4,positive
43,Lost Weekend,4.4,Hsuan,"['one', 'of', 'my', 'favorite', 'part', 'in', 'this', 'city', '!']",5.0,2023-06-25,en,5,positive
44,Lost Weekend,4.4,Hattie,"['all', 'vegan', '!', 'very', 'studenty', 'and', 'busy', 'so', 'great', 'atmosphere', '.', 'plus', 'there', 'are', 'organised', 'events', 'all', 'the', 'time', ':)']",5.0,2023-06-20,en,5,positive
45,Lost Weekend,4.4,Georgi Gialamas,"['very', 'cool', 'spot', ',', 'but', 'the', 'sign', 'on', 'the', 'entrance', '„', 'love', 'kills', 'capitalism', '“', 'does', 'n’t', 'make', 'any', 'sense', '.', 'the', 'coffee', 'is', 'not', 'for', 'free', '.', 'you', 'have', 'to', 'pay', 'money', 'to', 'get', 'one', '.']",3.0,2023-06-13,en,3,positive
46,Lost Weekend,4.4,Berk ORAN,"['exciting', 'bar', ',', 'i', 'was', 'suprised', 'for', 'the', 'events', 'when', 'i', 'first', 'see']",5.0,2023-06-11,en,4,positive
47,Lost Weekend,4.4,Arno Eggers,"['guter', 'kaffee', ',', 'preis', 'für', 'münchen', 'und', 'die', 'lage', 'in', 'ordnung', 'aber', 'natürlich', 'hoch', '.', 'alles', 'in', 'allem', 'gemütlich', 'aber', 'nichts', 'super', 'besonderes', '.']",4.0,2023-06-10,de,4,positive
48,Lost Weekend,4.4,Quinn Winters,"['good', 'hipster', 'vibe', 'and', 'nice', 'people', 'who', 'work', 'there', '.', 'the', 'coffee', 'is', 'better', 'than', 'the', 'average', 'munich', 'shop', 'but', 'not', 'anything', 'to', 'write', 'home', 'about', 'if', 'you', ""'re"", 'a', 'coffee', 'snob', '.', 'but', 'the', 'way', 'they', 'take', 'and', 'fulfill', 'orders', 'makes', 'me', 'knock', 'off', 'two', 'stars', 'of', 'what', 'would', 'other', 'wise', 'by', 'a', '5', 'star', 'review', '.', '\n\n', 'the', 'pace', 'of', 'the', 'employees', 'preparing', 'food', 'and', 'drinks', 'is', 'frustratingly', 'slow', 'and', 'often', 'the', 'counter', 'is', 'so', 'understaffed', 'that', 'they', 'can', 'not', 'delegate', '.', 'in', 'practice', ',', 'this', 'means', 'that', 'you', 'have', 'to', 'wait', 'for', 'the', 'person', 'at', 'the', 'front', 'of', 'the', 'line', 'to', 'order', ',', 'pay', 'and', 'receive', 'their', 'order', 'before', 'the', 'line', 'can', 'move', 'forward', '.', 'other', 'coffee', 'shops', 'like', 'man', 'vs.', 'machine', 'have', 'multiple', 'people', 'behind', 'the', 'bar', 'so', 'the', 'line', 'moves', '2', '-', '3x', 'faster', 'than', 'at', 'lost', 'weekend', '.', '\n\n', 'lost', 'weekend', 'is', 'a', 'good', 'place', 'to', 'go', 'if', 'you', 'are', 'going', 'to', 'stay', 'there', 'all', 'day', 'to', 'work', ',', 'but', 'if', 'you', 'walk', 'by', 'and', 'poke', 'your', 'head', 'in', 'and', 'the', 'line', 'is', 'long', ',', 'it', ""'s"", 'generally', 'not', 'worth', 'the', 'wait', '.']",3.0,2023-06-10,en,2,neutral
49,Lost Weekend,4.4,Petrus Gerryts,"['kinda', 'an', 'interesting', 'place', ',', 'and', 'always', 'something', 'different', 'happening', 'in', 'this', 'space', '.', 'i', 'love', 'to', 'pop', 'in', 'to', 'see', 'what', '’s', 'up', ',', 'and', 'the', 'staff', 'are', 'always', 'super', 'friendly', '.']",5.0,2023-06-05,en,4,positive
50,Lost Weekend,4.4,Andreas Zoellner,"['wifi', 'does', 'n’t', 'work', '.', 'staff', 'does', 'n’t', 'really', 'care', '.', 'do', 'n’t', 'be', 'fooled', 'by', 'all', 'the', 'people', 'working', 'on', 'their', 'laptops', '-', 'they', 'likely', 'have', 'access', 'to', 'the', 'university', 'wifi', '.']",1.0,2023-06-05,en,2,neutral
51,Lost Weekend,4.4,Julia Be.,"['studentenkaffee', 'mit', 'sehr', 'lieben', 'barista-damen', '.', 'es', 'ist', 'nicht', 'allzu', 'teuer', 'und', 'außerdem', 'sehr', 'gemütlich', 'und', 'hübsch', 'eingerichtet', ',', 'sehr', 'einfach', '.', '\n', 'viele', 'milch-alternativen', 'zur', 'verfügung', '.', '\n', 'jeden', 'abend', 'ein', 'besonderes', 'programm', ':', 'comedy', 'oder', 'poetry', 'slam', '......', 'uvm']",5.0,2023-05-24,de,5,positive
52,Lost Weekend,4.4,Alejandra,"['the', 'food', 'and', 'atmosphere', 'is', 'great', '🤩', '\n', '4', '€', 'for', 'a', 'banana', 'bread', 'to', 'go', 'though', '…']",3.0,2023-05-16,en,4,positive
54,Lost Weekend,4.4,Anastasia B,"['it', '’s', 'a', 'vibe', 'einfach']",5.0,2023-05-08,en,5,positive
